,Player,Nation,Competition,Club,Age,Pos
20982,Daniel Albiar,za RSA,South African Premier Division,Sekhukhune United FC,24,MF
20983,Zaphaniah Mbokoma,za RSA,South African Premier Division,Sekhukhune United FC,31,MF
20984,Miguel Dias,za RSA,South African Premier Division,Sekhukhune United FC,27,MF
20985,Collins Makgaka,za RSA,South African Premier Division,Sekhukhune United FC,27,MF
20986,Abdul Razak Yusif,za RSA,South African Premier Division,Sekhukhune United FC,22,GK
20987,Asekho Tiwani,N/I,South African Premier Division,Sekhukhune United FC,0,N/I
20988,Sanele Barns,za RSA,South African Premier Division,Richards Bay FC,26,"MF,FW"
20989,Boikanyo Komane,za RSA,South African Premier Division,Richards Bay FC,31,MF
20990,Jamal Salim,ug UGA,South African Premier Division,Richards Bay FC,28,GK
20991,Thabani Dube,za RSA,South African Premier Division,Richards Bay FC,31,DF
20992,Langelihle Mhlongo,za RSA,South African Premier Division,Richards Bay FC,23,MF
20993,Simphiwe Mcineka,za RSA,South African Premier Division,Richards Bay FC,27,DF
20994,Tshepo Mabua,za RSA,South African Premier Division,Richards Bay FC,29,"DF,MF"
20995,Somila Ntsundwana,za RSA,South African Premier Division,Richards Bay FC,27,"MF,FW"
20996,Romario Dlamini,za RSA,South African Premier Division,Richards Bay FC,29,DF
20997,Justice Figareido,sz SWZ,South African Premier Division,Richards Bay FC,25,"FW,MF"
20998,Thulani Gumede,N/I,South African Premier Division,Richards Bay FC,0,MF
20999,Lucky Mohomi,za RSA,South African Premier Division,Richards Bay FC,32,"MF,FW"
21000,Sibusiso Mthethwa,za RSA,South African Premier Division,Richards Bay FC,32,DF
21001,Yanela Mbuthuma,za RSA,South African Premier Division,Richards Bay FC,21,FW
21002,Abdi Banda,tz TAN,South African Premier Division,Richards Bay FC,28,DF
21003,Jackson Mabokgwane,za RSA,South African Premier Division,Richards Bay FC,36,GK
21004,Nkululeko Miya,N/I,South African Premier Division,Richards Bay FC,0,"MF,FW"
21005,Abel Mabaso,za RSA,South African Premier Division,Richards Bay FC,32,MF
21006,Lwandile Mabuya,za RSA,South African Premier Division,Richards Bay FC,23,DF
21007,Nkosikhona Ndaba,za RSA,South African Premier Division,Richards Bay FC,21,DF
21008,Moses Mthembu,za RSA,South African Premier Division,Richards Bay FC,22,MF
21009,Katlego Maphathe,za RSA,South African Premier Division,Richards Bay FC,30,DF
21010,Thobani Mthembu,N/I,South African Premier Division,Richards Bay FC,0,FW
21011,Mpho Mathebula,za RSA,South African Premier Division,Richards Bay FC,22,MF
21012,Sinethemba Mngomezulu,za RSA,South African Premier Division,Richards Bay FC,24,MF
21013,Letsie Koapeng,za RSA,South African Premier Division,Richards Bay FC,32,FW
21014,Thato Mohlamme,N/I,South African Premier Division,Richards Bay FC,0,MF
21015,Sakhile Hlongwa,za RSA,South African Premier Division,Richards Bay FC,28,FW
21016,Bandile Ndlovu,N/I,South African Premier Division,Richards Bay FC,0,MF
21017,Katleho Makateng,ls LES,South African Premier Division,Richards Bay FC,25,FW
21018,Philasande Manqele,za RSA,South African Premier Division,Richards Bay FC,20,GK
21019,Siphamandla Ncanana,za RSA,South African Premier Division,Richards Bay FC,23,DF
21020,Keanu Cupido,za RSA,South African Premier Division,Cape Town City,26,"DF,MF"
21021,Darren Keet,za RSA,South African Premier Division,Cape Town City,34,GK
21022,Taahir Goedeman,za RSA,South African Premier Division,Cape Town City,24,"MF,FW"
21023,Khanyisa Mayo,za RSA,South African Premier Division,Cape Town City,25,"FW,MF"
21024,Fidel Ambina,cm CMR,South African Premier Division,Cape Town City,22,"MF,DF"
21025,Darwin González,ve VEN,South African Premier Division,Cape Town City,29,"MF,FW"
21026,Marc van Heerden,za RSA,South African Premier Division,Cape Town City,35,DF
21027,Thamsanqa Mkhize,za RSA,South African Premier Division,Cape Town City,35,"DF,MF"
21028,Jaeden Rhodes,za RSA,South African Premier Division,Cape Town City,20,"MF,DF"
21029,Thabiso Kutumela,za RSA,South African Premier Division,Cape Town City,30,"FW,MF"
21030,Lorenzo Gordinho,za RSA,South African Premier Division,Cape Town City,29,DF
21031,Thabo Nodada,za RSA,South African Premier Division,Cape Town City,28,"MF,DF"
21032,Luyolo Slatsha,za RSA,South African Premier Division,Cape Town City,21,MF
21033,Jô Paciência,ao ANG,South African Premier Division,Cape Town City,27,"FW,MF"
21034,Tshegofatso Nyama,za RSA,South African Premier Division,Cape Town City,24,"MF,FW"
21035,Thato Mokeke,za RSA,South African Premier Division,Cape Town City,33,"MF,DF"
21036,Juan Camilo Zapata,co COL,South African Premier Division,Cape Town City,29,"MF,FW"
21037,Relebogile Mokhuoane,za RSA,South African Premier Division,Cape Town City,29,MF
21038,Luphumlo Sifumba,za RSA,South African Premier Division,Cape Town City,18,FW
21039,Taariq Fielies,za RSA,South African Premier Division,Cape Town City,31,DF
21040,Bongani Mpandle,za RSA,South African Premier Division,Cape Town City,31,GK
21041,Shakeel April,N/I,South African Premier Division,Cape Town City,0,MF
21042,Luke Daniels,za RSA,South African Premier Division,Cape Town City,19,FW
21043,Patrick Fisher,za RSA,South African Premier Division,Cape Town City,21,DF
21044,Ramazani Tshimanga,N/I,South African Premier Division,Cape Town City,21,DF
21045,Luca Diana-Olario,za RSA,South African Premier Division,Cape Town City,20,GK
21046,Grant Margeman,za RSA,South African Premier Division,SuperSport United,25,MF
21047,Ricardo Goss,za RSA,South African Premier Division,SuperSport United,29,GK
21048,Ime Okon,za RSA,South African Premier Division,SuperSport United,19,DF
21049,Bradley Grobler,za RSA,South African Premier Division,SuperSport United,35,FW
21050,Kegan Johannes,za RSA,South African Premier Division,SuperSport United,22,DF
21051,Thulani Hlatshwayo,za RSA,South African Premier Division,SuperSport United,34,DF
21052,Terrence Dzvukamanja,zw ZIM,South African Premier Division,SuperSport United,29,"FW,MF"
21053,Lyle Lakay,za RSA,South African Premier Division,SuperSport United,32,"MF,DF"
21054,Gamphani Lungu,zm ZAM,South African Premier Division,SuperSport United,25,"MF,FW"
21055,Ronald Pfumbidzai,zw ZIM,South African Premier Division,SuperSport United,29,DF
21056,Gape Moralo,za RSA,South African Premier Division,SuperSport United,23,"MF,FW"
21057,Siphesihle Ndlovu,za RSA,South African Premier Division,SuperSport United,27,MF
21058,Onismor Bhasera,zw ZIM,South African Premier Division,SuperSport United,37,DF
21059,Shandre Campbell,za RSA,South African Premier Division,SuperSport United,18,MF
21060,Etiosa Ighodaro,ng NGA,South African Premier Division,SuperSport United,22,FW
21061,Siyanda Xulu,za RSA,South African Premier Division,SuperSport United,32,DF
21062,Tendamudzimu Matodzi,za RSA,South African Premier Division,SuperSport United,22,MF
21063,Bilal Baloyi,za RSA,South African Premier Division,SuperSport United,20,DF
21064,Abdulrazak Hamza,tz TAN,South African Premier Division,SuperSport United,20,"MF,DF"
21065,Keenan Bezuidenhout,za RSA,South African Premier Division,SuperSport United,21,MF
21066,Selaelo Rasebotja,za RSA,South African Premier Division,SuperSport United,22,MF
21067,Phathutshedzo Nange,za RSA,South African Premier Division,SuperSport United,32,MF
21068,Washington Arubi,zw ZIM,South African Premier Division,SuperSport United,38,GK
21069,Jabu Matsio,za RSA,South African Premier Division,SuperSport United,20,MF
21070,Thalente Mbatha,za RSA,South African Premier Division,SuperSport United,23,MF
21071,Risen Albert,za RSA,South African Premier Division,SuperSport United,21,FW
21072,Jesse Donn,za RSA,South African Premier Division,SuperSport United,24,MF
21073,Yandisa Mfolozi,za RSA,South African Premier Division,SuperSport United,22,MF
21074,Luke Fleurs,za RSA,South African Premier Division,SuperSport United,23,DF
21075,Lyema Dopolo,za RSA,South African Premier Division,SuperSport United,19,DF
21076,Samukelo Xulu,za RSA,South African Premier Division,SuperSport United,22,MF
21077,Daniel Akpeyi,ng NGA,South African Premier Division,Moroka Swallows,37,GK
