,Player,Nation,Competition,Club,Age,Pos
20894,Claudiu Negoescu,ro ROU,Liga I,UTA Arad,20,FW
20895,Daniel Nortey,N/I,Liga I,UTA Arad,0,MF
20896,Roland Niczuly,ro ROU,Liga I,Sepsi Sfantu Gheorghe,28,GK
20897,Marius Ştefănescu,ro ROU,Liga I,Sepsi Sfantu Gheorghe,25,"MF,FW"
20898,Branislav Niňaj,sk SVK,Liga I,Sepsi Sfantu Gheorghe,29,DF
20899,Pavol Šafranko,sk SVK,Liga I,Sepsi Sfantu Gheorghe,29,FW
20900,Isnik Alimi,mk MKD,Liga I,Sepsi Sfantu Gheorghe,29,MF
20901,Denis Ciobotariu,ro ROU,Liga I,Sepsi Sfantu Gheorghe,25,DF
20902,Bogdan Oteliță,ro ROU,Liga I,Sepsi Sfantu Gheorghe,21,"DF,MF"
20903,Mihai Bălașa,ro ROU,Liga I,Sepsi Sfantu Gheorghe,29,DF
20904,Cosmin Matei,ro ROU,Liga I,Sepsi Sfantu Gheorghe,32,MF
20905,Ion Gheorghe,ro ROU,Liga I,Sepsi Sfantu Gheorghe,24,"MF,DF"
20906,Ákos Kecskés,hu HUN,Liga I,Sepsi Sfantu Gheorghe,28,DF
20907,Adnan Aganović,hr CRO,Liga I,Sepsi Sfantu Gheorghe,36,"MF,FW"
20908,Florin Ștefan,ro ROU,Liga I,Sepsi Sfantu Gheorghe,27,DF
20909,Roland Varga,hu HUN,Liga I,Sepsi Sfantu Gheorghe,33,"MF,FW"
20910,Jonathan Rodríguez,ar ARG,Liga I,Sepsi Sfantu Gheorghe,33,MF
20911,Nicolae Paun,ro ROU,Liga I,Sepsi Sfantu Gheorghe,25,MF
20912,Darius Oroian,ro ROU,Liga I,Sepsi Sfantu Gheorghe,20,"MF,DF"
20913,Vitalie Damașcan,md MDA,Liga I,Sepsi Sfantu Gheorghe,24,"MF,FW"
20914,Gabriel Debeljuh,hr CRO,Liga I,Sepsi Sfantu Gheorghe,27,"FW,MF"
20915,Francisco Júnior,gw GNB,Liga I,Sepsi Sfantu Gheorghe,32,MF
20916,Andres Dumitrescu,ro ROU,Liga I,Sepsi Sfantu Gheorghe,22,DF
20917,Mario Rondón,ve VEN,Liga I,Sepsi Sfantu Gheorghe,37,FW
20918,Sherif Kallaku,al ALB,Liga I,Sepsi Sfantu Gheorghe,25,MF
20919,Denis Renta,ro ROU,Liga I,Sepsi Sfantu Gheorghe,19,MF
20920,Márk Tamás,hu HUN,Liga I,Sepsi Sfantu Gheorghe,30,DF
20921,Davide Popșa,N/I,Liga I,Sepsi Sfantu Gheorghe,0,N/I
20922,Krisztian Dobozi,ro ROU,Liga I,Sepsi Sfantu Gheorghe,19,DF
20923,Hunor Gedo,ro ROU,Liga I,Sepsi Sfantu Gheorghe,20,GK
20924,Norbert Kocsis,ro ROU,Liga I,Sepsi Sfantu Gheorghe,19,FW
20925,Dinu Moldovan,ro ROU,Liga I,Sepsi Sfantu Gheorghe,33,GK
20926,Akos Nistor,ro ROU,Liga I,Sepsi Sfantu Gheorghe,19,MF
20927,Adnan Golubović,si SVN,Liga I,Dinamo Bucuresti,28,GK
20928,Cristian Costin,ro ROU,Liga I,Dinamo Bucuresti,25,"MF,DF"
20929,Costin Amzăr,ro ROU,Liga I,Dinamo Bucuresti,20,"DF,MF"
20930,Dennis Politic,ro ROU,Liga I,Dinamo Bucuresti,23,"MF,FW"
20931,Lucão,br BRA,Liga I,Dinamo Bucuresti,31,DF
20932,Quentin Bena,fr FRA,Liga I,Dinamo Bucuresti,25,"MF,DF"
20933,Christian Ilić,hr CRO,Liga I,Dinamo Bucuresti,27,MF
20934,Josué Homawoo,fr FRA,Liga I,Dinamo Bucuresti,26,DF
20935,Gonçalo Gregório,pt POR,Liga I,Dinamo Bucuresti,28,FW
20936,Gabriel,br BRA,Liga I,Dinamo Bucuresti,35,"DF,MF"
20937,Neluț Roșu,ro ROU,Liga I,Dinamo Bucuresti,30,MF
20938,Gorka Larruzea,es ESP,Liga I,Dinamo Bucuresti,30,MF
20939,Dani Iglesias,es ESP,Liga I,Dinamo Bucuresti,28,MF
20940,Lamine Ghezali,fr FRA,Liga I,Dinamo Bucuresti,24,"FW,MF"
20941,Răzvan Patriche,ro ROU,Liga I,Dinamo Bucuresti,37,DF
20942,Ahmed Bani Mustafa,ro ROU,Liga I,Dinamo Bucuresti,21,"MF,FW"
20943,Hakim Abdallah,mg MAD,Liga I,Dinamo Bucuresti,26,"FW,MF"
20944,Deniz Giafer,ro ROU,Liga I,Dinamo Bucuresti,22,DF
20945,Ricardo Grigore,ro ROU,Liga I,Dinamo Bucuresti,24,DF
20946,Cătălin Țîră,ro ROU,Liga I,Dinamo Bucuresti,29,FW
20947,Antonio Bordusanu,ro ROU,Liga I,Dinamo Bucuresti,19,MF
20948,Ioan Borcea,ro ROU,Liga I,Dinamo Bucuresti,21,MF
20949,Iulian Roșu,ro ROU,Liga I,Dinamo Bucuresti,29,MF
20950,Dragoș Irimia,ro ROU,Liga I,Dinamo Bucuresti,17,MF
20951,Geani Cretu,ro ROU,Liga I,Dinamo Bucuresti,24,MF
20952,Andrei Florescu,ro ROU,Liga I,Dinamo Bucuresti,21,FW
20953,Răzvan Began,ro ROU,Liga I,Dinamo Bucuresti,27,GK
20954,Filip Dujmović,ba BIH,Liga I,Dinamo Bucuresti,24,GK
20955,David Irimia,ro ROU,Liga I,Dinamo Bucuresti,17,DF
20956,Nyiko Mobbie,za RSA,South African Premier Division,Sekhukhune United FC,29,DF
20957,Kamohelo Mokotjo,za RSA,South African Premier Division,Sekhukhune United FC,32,MF
20958,Daniel Cardoso,za RSA,South African Premier Division,Sekhukhune United FC,35,DF
20959,Chibuike Ohizu,ng NGA,South African Premier Division,Sekhukhune United FC,27,FW
20960,Elias Mokwana,za RSA,South African Premier Division,Sekhukhune United FC,24,"FW,MF"
20961,Jamie Webber,za RSA,South African Premier Division,Sekhukhune United FC,26,MF
20962,Badra Ali Sangaré,ci CIV,South African Premier Division,Sekhukhune United FC,37,GK
20963,Siphesihle Mkhize,za RSA,South African Premier Division,Sekhukhune United FC,24,MF
20964,Vusimuzi Mncube,za RSA,South African Premier Division,Sekhukhune United FC,30,"MF,FW"
20965,Lebohang Mabotja,za RSA,South African Premier Division,Sekhukhune United FC,32,DF
20966,Siphosakhe Ntiya-Ntiya,za RSA,South African Premier Division,Sekhukhune United FC,26,DF
20967,Edwin Gyimah,gh GHA,South African Premier Division,Sekhukhune United FC,32,DF
20968,Renaldo Leaner,za RSA,South African Premier Division,Sekhukhune United FC,25,GK
20969,Tshepo Rikhotso,za RSA,South African Premier Division,Sekhukhune United FC,30,DF
20970,Larry Bwalya,zm ZAM,South African Premier Division,Sekhukhune United FC,28,"MF,FW"
20971,Trésor Yamba,cd COD,South African Premier Division,Sekhukhune United FC,25,DF
20972,Kamohelo Sithole,za RSA,South African Premier Division,Sekhukhune United FC,26,"FW,MF"
20973,Lehlohonolo Mtshali,za RSA,South African Premier Division,Sekhukhune United FC,29,MF
20974,Ryan Baartman,za RSA,South African Premier Division,Sekhukhune United FC,26,DF
20975,Mokhele Maloisane,za RSA,South African Premier Division,Sekhukhune United FC,27,"FW,MF"
20976,Kgomotso Mosadi,za RSA,South African Premier Division,Sekhukhune United FC,25,FW
20977,Tashreeq Morris,za RSA,South African Premier Division,Sekhukhune United FC,29,FW
20978,Tiklas Thutlwa,za RSA,South African Premier Division,Sekhukhune United FC,24,FW
20979,Pogiso Mahlangu,za RSA,South African Premier Division,Sekhukhune United FC,31,MF
20980,Katlego Mkhabela,za RSA,South African Premier Division,Sekhukhune United FC,28,DF
20981,Sibusiso Vilakazi,za RSA,South African Premier Division,Sekhukhune United FC,34,"FW,MF"
